LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2017,Skoda,Rapid 1.5 TDI AT STYLE PLUS,Automatic,"1,38,467 km",Diesel,1st Owner,"₹6,12,799"
New Delhi,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI OPT,Manual,"53,517 km",Diesel,1st Owner,"₹4,82,299"
New Delhi,2017,Maruti,Swift Dzire LDI BS IV,Manual,"51,316 km",Diesel,2nd Owner,"₹5,15,599"
New Delhi,2019,Maruti,Ciaz DELTA 1.5 SHVS VVT MT,Manual,"7,620 km",Petrol,2nd Owner,"₹8,25,399"
New Delhi,2018,Toyota,YARIS J MT,Manual,"52,770 km",Petrol,2nd Owner,"₹7,60,599"
New Delhi,2020,Honda,Amaze 1.2 V MT I-VTEC,Manual,"13,903 km",Petrol,1st Owner,"₹6,91,599"
New Delhi,2016,Honda,Amaze 1.2 SMT I VTEC,Manual,"66,235 km",Petrol + CNG,2nd Owner,"₹4,82,099"
New Delhi,2013,Maruti,Swift Dzire LDI BS IV,Manual,"49,944 km",Diesel,2nd Owner,"₹3,54,299"
New Delhi,2020,Honda,Amaze 1.2 SMT I VTEC,Manual,"12,514 km",Petrol,1st Owner,"₹6,46,899"
New Delhi,2017,Maruti,Dzire VDI,Manual,"1,09,291 km",Diesel,1st Owner,"₹5,53,999"
New Delhi,2014,Maruti,Ciaz VDI PLUS,Manual,"62,366 km",Diesel,1st Owner,"₹5,39,699"
New Delhi,2014,Maruti,Ciaz ZDI,Manual,"1,23,906 km",Diesel,3rd Owner,"₹3,90,599"
New Delhi,2016,Hyundai,New Elantra 2.0 SX (O) AT,Automatic,"49,510 km",Petrol,2nd Owner,"₹9,66,099"
New Delhi,2016,Mercedes,Benz E Class E200 CGI EDITION E,Manual,"19,041 km",Petrol,2nd Owner,"₹22,66,999"
New Delhi,2014,Toyota,Corolla Altis D 4D J,Manual,"1,03,033 km",Diesel,1st Owner,"₹6,39,299"
New Delhi,2015,Maruti,Swift VDI ABS,Manual,"1,64,520 km",Diesel,1st Owner,"₹3,82,699"
New Delhi,2019,Tata,Tiago XT 1.2 REVOTRON,Manual,"34,685 km",Petrol,1st Owner,"₹4,50,299"
New Delhi,2017,Maruti,Baleno DELTA 1.2 K12,Manual,"20,990 km",Petrol,1st Owner,"₹6,13,499"
New Delhi,2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"48,582 km",Petrol,1st Owner,"₹5,90,099"
New Delhi,2020,Maruti,Baleno DELTA 1.2 K12,Manual,"11,679 km",Petrol,1st Owner,"₹6,63,599"
New Delhi,2017,Maruti,Alto 800 LXI,Manual,"63,567 km",Petrol,1st Owner,"₹3,46,599"
New Delhi,2011,Hyundai,i20 MAGNA O 1.2,Manual,"44,007 km",Petrol,1st Owner,"₹2,58,999"
New Delhi,2016,Hyundai,Elite i20 SPORTZ 1.2,Manual,"24,584 km",Petrol,1st Owner,"₹5,05,199"
New Delhi,2015,Maruti,Baleno DELTA 1.2 K12,Manual,"22,140 km",Petrol,1st Owner,"₹5,10,699"
New Delhi,2017,Maruti,Swift VDI ABS,Manual,"69,894 km",Diesel,1st Owner,"₹4,74,699"
New Delhi,2017,Maruti,Wagon R 1.0 VXI,Manual,"4,956 km",Petrol,1st Owner,"₹3,89,199"
New Delhi,2017,Maruti,Swift VXI,Manual,"25,626 km",Petrol,1st Owner,"₹5,37,699"
New Delhi,2017,Hyundai,Elite i20 SPORTZ 1.2,Manual,"64,918 km",Petrol,1st Owner,"₹5,03,999"
New Delhi,2019,Maruti,Swift LXI,Manual,"16,148 km",Petrol,1st Owner,"₹5,05,299"
New Delhi,2017,Maruti,Celerio ZXI AMT,Automatic,"38,235 km",Petrol,1st Owner,"₹4,10,499"
New Delhi,2018,Maruti,Wagon R 1.0 VXI AMT,Automatic,"12,965 km",Petrol,2nd Owner,"₹4,13,999"
New Delhi,2018,Volkswagen,Polo COMFORTLINE 1.0 PETROL,Manual,"23,826 km",Petrol,1st Owner,"₹5,27,699"
New Delhi,2017,Maruti,Alto 800 LXI,Manual,"27,919 km",Petrol,2nd Owner,"₹2,88,799"
New Delhi,2015,Hyundai,Elite i20 ASTA 1.2,Manual,"38,892 km",Petrol,1st Owner,"₹5,51,599"
New Delhi,2019,Maruti,Baleno DELTA 1.2 K12,Manual,"4,328 km",Petrol,1st Owner,"₹6,53,299"
