LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Bengaluru,2012,Maruti,Swift VXI,Manual,"38,980 km",Petrol,1st Owner,"₹5,10,999"
Bengaluru,2012,Maruti,Swift VXI,Manual,"56,941 km",Petrol,2nd Owner,"₹5,89,999"
Bengaluru,2016,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"38,686 km",Petrol,2nd Owner,"₹6,72,999"
Bengaluru,2012,Maruti,Alto K10 VXI,Manual,"42,382 km",Petrol,1st Owner,"₹2,98,099"
Bengaluru,2014,Maruti,Alto K10 VXI,Manual,"66,079 km",Petrol,1st Owner,"₹3,27,899"
Bengaluru,2017,Maruti,Baleno ZETA 1.2 K12,Manual,"66,816 km",Petrol,1st Owner,"₹6,55,299"
Bengaluru,2017,Tata,Nano XT TWIST,Manual,"15,377 km",Petrol,3rd Owner,"₹2,04,299"
Bengaluru,2019,Maruti,S PRESSO VXI PLUS,Manual,"10,462 km",Petrol,1st Owner,"₹4,62,399"
Bengaluru,2017,Renault,Kwid CLIMBER 1.0 AT,Manual,"24,025 km",Petrol,1st Owner,"₹5,13,999"
Bengaluru,2017,Renault,Kwid CLIMBER 1.0 AT,Manual,"27,188 km",Petrol,1st Owner,"₹4,22,899"
Bengaluru,2014,Hyundai,Grand i10 ASTA 1.2 AT VTVT,Automatic,"80,080 km",Petrol,1st Owner,"₹4,69,299"
Bengaluru,2015,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,Manual,"1,02,124 km",Petrol,2nd Owner,"₹4,13,899"
Bengaluru,2009,Maruti,Wagon R Duo LXI LPG,Manual,"63,282 km",Petrol + LPG,1st Owner,"₹2,31,499"
Bengaluru,2011,Maruti,Swift VDI,Manual,"73,239 km",Diesel,1st Owner,"₹3,68,799"
Bengaluru,2015,Renault,Kwid RXT,Manual,"29,556 km",Petrol,1st Owner,"₹3,19,699"
Bengaluru,2016,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"17,717 km",Petrol,2nd Owner,"₹6,94,399"
Bengaluru,2011,Maruti,Ritz VDI,Manual,"71,856 km",Diesel,2nd Owner,"₹3,35,799"
Bengaluru,2016,Maruti,Wagon R 1.0 VXI,Manual,"17,120 km",Petrol,2nd Owner,"₹4,02,599"
Bengaluru,2015,Maruti,Swift VXI,Manual,"35,490 km",Petrol,1st Owner,"₹5,24,199"
Bengaluru,2015,Datsun,Go T,Manual,"30,777 km",Petrol,1st Owner,"₹3,19,399"
Bengaluru,2016,Maruti,Alto K10 VXI OPT,Manual,"34,767 km",Petrol,1st Owner,"₹2,99,099"
Bengaluru,2017,Maruti,Celerio ZXI OPT AMT,Automatic,"34,430 km",Petrol,1st Owner,"₹4,99,299"
Bengaluru,2018,Hyundai,Elite i20 ASTA 1.4 CRDI DUAL TONE,Manual,"63,772 km",Diesel,1st Owner,"₹7,01,899"
Bengaluru,2014,Maruti,Alto 800 LXI,Manual,"19,434 km",Petrol,1st Owner,"₹2,88,799"
Bengaluru,2016,Hyundai,Elite i20 SPORTZ 1.2,Manual,"53,103 km",Petrol,1st Owner,"₹6,90,699"
Bengaluru,2009,Hyundai,i10 MAGNA 1.2 AT,Automatic,"58,491 km",Petrol,2nd Owner,"₹2,52,399"
Bengaluru,2018,Maruti,Alto K10 VXI (O) AMT,,"10,057 km",Petrol,1st Owner,"₹4,08,499"
Bengaluru,2010,Hyundai,i10 MAGNA 1.2,Manual,"52,298 km",Petrol,1st Owner,"₹2,75,699"
Bengaluru,2009,Hyundai,i10 MAGNA 1.2 AT,Automatic,"27,005 km",Petrol,1st Owner,"₹3,04,999"
Bengaluru,2014,Hyundai,Grand i10 ASTA 1.2 AT VTVT,Automatic,"21,970 km",Petrol,1st Owner,"₹4,92,699"
Bengaluru,2019,Renault,Kwid CLIMBER 1.0 AT,,"12,449 km",Petrol,1st Owner,"₹4,46,499"
Bengaluru,2017,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"12,908 km",Petrol,1st Owner,"₹4,75,099"
Bengaluru,2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"34,278 km",Petrol,1st Owner,"₹4,92,599"
Bengaluru,2016,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Manual,"15,831 km",Petrol,1st Owner,"₹5,60,099"
Bengaluru,2019,Maruti,Celerio ZXI OPT,Manual,"5,805 km",Petrol,1st Owner,"₹5,55,499"
Bengaluru,2017,Maruti,Swift ZXI,Manual,"56,166 km",Petrol,2nd Owner,"₹5,88,799"
Bengaluru,2018,Maruti,Swift VXI,Manual,"18,855 km",Petrol,1st Owner,"₹6,15,899"
Bengaluru,2015,Maruti,Swift VXI,Manual,"41,355 km",Petrol,1st Owner,"₹4,95,799"
Bengaluru,2016,Tata,Tiago XZ 1.2 REVOTRON,Manual,"19,248 km",Petrol,2nd Owner,"₹4,27,799"
Bengaluru,2011,Maruti,Ritz ZXI,Manual,"33,079 km",Petrol,1st Owner,"₹4,67,599"
Bengaluru,2012,Maruti,Swift VXI,Manual,"38,980 km",Petrol,1st Owner,"₹5,10,999"
Bengaluru,2012,Maruti,Swift VXI,Manual,"56,941 km",Petrol,2nd Owner,"₹5,89,999"
Bengaluru,2016,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"38,686 km",Petrol,2nd Owner,"₹6,72,999"
Bengaluru,2012,Maruti,Alto K10 VXI,Manual,"42,382 km",Petrol,1st Owner,"₹2,98,099"
Bengaluru,2014,Maruti,Alto K10 VXI,Manual,"66,079 km",Petrol,1st Owner,"₹3,27,899"
Bengaluru,2014,Maruti,Alto K10 VXI,Manual,"32,726 km",Petrol,1st Owner,"₹3,23,599"
Bengaluru,2016,Maruti,Alto 800 LXI,Manual,"17,173 km",Petrol,2nd Owner,"₹3,14,099"
Bengaluru,2017,Maruti,Alto 800 VXI,Manual,"6,290 km",Petrol,2nd Owner,"₹3,43,999"
Bengaluru,2018,Maruti,IGNIS ZETA 1.2 K12,Manual,"73,599 km",Petrol,1st Owner,"₹5,08,799"
Bengaluru,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"44,047 km",Petrol,2nd Owner,"₹4,49,999"
Bengaluru,2015,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"20,652 km",Petrol,2nd Owner,"₹3,98,299"
Bengaluru,2017,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"37,049 km",Petrol,1st Owner,"₹4,46,299"
Bengaluru,2013,Hyundai,i10 SPORTZ 1.2 KAPPA2,Manual,"15,680 km",Petrol,1st Owner,"₹4,23,699"
Bengaluru,2015,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,Manual,"35,879 km",Petrol,2nd Owner,"₹4,55,299"
Bengaluru,2016,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,120 km,Petrol,1st Owner,"₹5,51,099"
Bengaluru,2015,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Manual,"77,705 km",Petrol,1st Owner,"₹5,65,499"
Bengaluru,2013,Maruti,Alto K10 VXI,Manual,"54,999 km",Petrol,2nd Owner,"₹2,49,799"
Bengaluru,2013,Volkswagen,Polo GT TSI 1.2 PETROL AT,Automatic,"26,663 km",Petrol,3rd Owner,"₹6,64,499"
Bengaluru,2017,Datsun,Redi Go T (O),Manual,"10,992 km",Petrol,1st Owner,"₹2,89,399"
Bengaluru,2016,Maruti,Baleno DELTA 1.2 K12,Manual,"79,991 km",Petrol,1st Owner,"₹5,31,899"
Bengaluru,2014,Maruti,Wagon R 1.0 VXI,Manual,"27,523 km",Petrol,1st Owner,"₹3,88,199"
Bengaluru,2019,Hyundai,Elite i20 1.2 MAGNA PLUS VTVT,Manual,"14,912 km",Petrol,3rd Owner,"₹6,49,299"
Bengaluru,2011,Hyundai,Santro Xing GL PLUS,Manual,"70,009 km",Petrol,2nd Owner,"₹2,41,099"
Bengaluru,2020,Maruti,Alto LXI,Manual,945 km,Petrol,1st Owner,"₹3,40,099"
Bengaluru,2014,Hyundai,i20 ASTA 1.4 CRDI,Manual,"1,29,285 km",Diesel,1st Owner,"₹5,10,699"
Bengaluru,2017,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"14,578 km",Petrol,2nd Owner,"₹5,20,899"
Bengaluru,2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"42,972 km",Petrol,1st Owner,"₹4,42,599"
Bengaluru,2016,Renault,Kwid RXT Opt,Manual,"13,808 km",Petrol,2nd Owner,"₹3,65,199"
Bengaluru,2014,Maruti,Wagon R 1.0 VXI,Manual,"46,679 km",Petrol,2nd Owner,"₹3,58,299"
Bengaluru,2017,Renault,Kwid RXT 1.0 EASY-R AT OPTION,Automatic,"14,193 km",Petrol,1st Owner,"₹3,81,799"
Bengaluru,2016,Tata,Nano TWIST XTA,Automatic,"17,462 km",Petrol,1st Owner,"₹2,73,699"
Bengaluru,2014,Maruti,Swift VXI,Manual,"65,138 km",Petrol,1st Owner,"₹4,86,999"
Bengaluru,2012,Maruti,Alto 800 LXI,Manual,"29,483 km",Petrol,2nd Owner,"₹2,75,799"
Bengaluru,2014,Maruti,Swift VXI,Manual,"24,892 km",Petrol,1st Owner,"₹5,40,599"
Bengaluru,2016,Ford,New Figo 1.5 TITANIUM,Manual,"42,342 km",Diesel,3rd Owner,"₹5,10,299"
Bengaluru,2014,Maruti,Alto K10 VXI,Manual,"1,16,043 km",Petrol,1st Owner,"₹3,42,299"
Bengaluru,2017,Maruti,Baleno ALPHA 1.2 K12,Manual,"33,827 km",Petrol,1st Owner,"₹6,34,199"
Bengaluru,2016,Volkswagen,Polo HIGHLINE1.5L DIESEL,Manual,"80,377 km",Diesel,1st Owner,"₹6,52,199"
Bengaluru,2018,Renault,Kwid CLIMBER 1.0 AT,,"19,422 km",Petrol,2nd Owner,"₹4,04,099"
Bengaluru,2016,Renault,Kwid RXT 1.0 EASY-R  AT,,"35,941 km",Petrol,2nd Owner,"₹4,17,599"
Bengaluru,2012,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"57,484 km",Petrol,1st Owner,"₹4,58,499"
Bengaluru,2016,Honda,Jazz 1.2 V MT,Manual,"27,819 km",Petrol,1st Owner,"₹6,49,499"
Bengaluru,2013,Toyota,Etios Liva V,Manual,"48,838 km",Petrol,1st Owner,"₹5,53,799"
Bengaluru,2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"31,454 km",Petrol,4th Owner,"₹4,18,499"
Bengaluru,2012,Hyundai,i10 SPORTZ 1.2 KAPPA2,Manual,"48,208 km",Petrol,1st Owner,"₹3,76,699"
Bengaluru,2017,Renault,Kwid CLIMBER 1.0 AT,Manual,"24,920 km",Petrol,1st Owner,"₹4,24,999"
Bengaluru,2017,Honda,Jazz 1.2 V MT,Manual,"18,749 km",Petrol,2nd Owner,"₹6,53,799"
Bengaluru,2018,Renault,Kwid RXL1.0 EASY-R AT,Manual,"11,083 km",Petrol,1st Owner,"₹4,12,099"
Bengaluru,2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"40,792 km",Petrol,1st Owner,"₹4,58,799"
Bengaluru,2015,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Manual,"57,741 km",Petrol,1st Owner,"₹5,54,899"
Bengaluru,2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"24,590 km",Petrol,2nd Owner,"₹4,76,399"
Bengaluru,2012,Honda,Brio 1.2 S MT I VTEC,Manual,"47,893 km",Petrol,1st Owner,"₹4,46,599"
Bengaluru,2014,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"49,305 km",Petrol,2nd Owner,"₹4,07,299"
Bengaluru,2012,Maruti,Swift VXI,Manual,"63,247 km",Petrol,1st Owner,"₹4,08,499"
Bengaluru,2017,Maruti,Celerio ZXI OPT AMT,Automatic,"45,379 km",Petrol,1st Owner,"₹4,57,199"
Bengaluru,2014,Maruti,Celerio VXI AMT,Automatic,"15,222 km",Petrol,2nd Owner,"₹4,10,499"
Bengaluru,2021,Maruti,Swift VXI,Manual,"3,327 km",Petrol,1st Owner,"₹6,50,699"
Bengaluru,2013,Maruti,Alto K10 VXI,Manual,"39,062 km",Petrol,2nd Owner,"₹2,76,499"
Bengaluru,2015,Maruti,Alto K10 VXI AMT,,"12,593 km",Petrol,2nd Owner,"₹3,33,199"
Bengaluru,2016,Renault,Kwid RXT Opt,Manual,"76,971 km",Petrol,1st Owner,"₹3,35,599"
Bengaluru,2015,Honda,Brio 1.2 S MT I VTEC,Manual,"4,392 km",Petrol,1st Owner,"₹4,92,599"
Bengaluru,2015,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"39,674 km",Petrol,1st Owner,"₹4,34,899"
Bengaluru,2011,Maruti,Alto K10 VXI,Manual,"69,882 km",Petrol,1st Owner,"₹2,40,499"
Bengaluru,2018,Renault,Kwid RXL,Manual,"10,522 km",Petrol,1st Owner,"₹3,89,699"
Bengaluru,2016,Hyundai,Grand i10 SPORTS 1.2 VTVT,Manual,"5,214 km",Petrol,1st Owner,"₹5,10,599"
Bengaluru,2014,Toyota,Corolla Altis D 4D G,Manual,"64,294 km",Diesel,1st Owner,"₹9,82,999"
Bengaluru,2016,Toyota,Corolla Altis G AT,Automatic,"18,351 km",Petrol,2nd Owner,"₹10,53,899"
Bengaluru,2017,Hyundai,Tucson New 4WD AT GLS DIESEL,Automatic,"34,941 km",Diesel,1st Owner,"₹20,67,099"
Bengaluru,2012,Maruti,Swift Dzire VDI BS IV,Manual,"97,180 km",Diesel,1st Owner,"₹5,09,499"
Bengaluru,2015,Hyundai,Xcent BASE 1.2,Manual,"12,009 km",Petrol,1st Owner,"₹4,50,999"
Bengaluru,2014,Hyundai,Xcent SX AT 1.2 OPT,Automatic,"52,819 km",Petrol,1st Owner,"₹5,16,199"
Bengaluru,2014,Maruti,Swift Dzire VDI BS IV,Manual,"79,550 km",Diesel,2nd Owner,"₹5,41,599"
Bengaluru,2015,Maruti,Ciaz ZXI + RS MT,Manual,"50,493 km",Petrol,1st Owner,"₹5,92,699"
Bengaluru,2014,Hyundai,Xcent S 1.2,Manual,"38,002 km",Petrol,1st Owner,"₹4,86,399"
Bengaluru,2019,Honda,City VX CVT PETROL,Automatic,"7,977 km",Petrol,1st Owner,"₹11,12,999"
Bengaluru,2020,Volkswagen,Vento HIGHLINE PLUS 1.0 TSI AT,Automatic,"8,464 km",Petrol,1st Owner,"₹13,47,999"
Bengaluru,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,81,930 km",Diesel,1st Owner,"₹4,75,599"
Bengaluru,2015,Ford,Figo Aspire 1.5 TITANIUM DIESEL,Manual,"55,628 km",Diesel,1st Owner,"₹5,09,899"
Bengaluru,2018,Maruti,Dzire VDI,Manual,"69,361 km",Diesel,1st Owner,"₹6,30,399"
Bengaluru,2018,Maruti,Dzire ZXI Plus AMT,Automatic,"13,779 km",Petrol,1st Owner,"₹7,43,099"
Bengaluru,2018,Maruti,Dzire ZDI Plus AMT,Automatic,"29,792 km",Diesel,1st Owner,"₹8,03,599"
Bengaluru,2017,Honda,City V MT PETROL,Manual,"27,403 km",Petrol,2nd Owner,"₹8,58,599"
Bengaluru,2018,Toyota,YARIS V CVT,Manual,"58,923 km",Petrol,1st Owner,"₹8,52,199"
Bengaluru,2013,Ford,Fiesta TITANIUM DIESEL,Manual,"64,313 km",Diesel,1st Owner,"₹4,53,999"
Bengaluru,2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"51,391 km",Petrol,3rd Owner,"₹5,34,799"
Bengaluru,2014,Honda,City SV MT PETROL,Manual,"80,312 km",Petrol,1st Owner,"₹5,99,599"
Bengaluru,2017,Maruti,Dzire VDI AMT,Automatic,"46,873 km",Diesel,1st Owner,"₹6,27,699"
Bengaluru,2015,Maruti,Ciaz ZDI+,Manual,"76,324 km",Diesel,1st Owner,"₹6,45,799"
Bengaluru,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"51,294 km",Petrol,2nd Owner,"₹4,65,299"
Bengaluru,2019,Maruti,Dzire ZXI AMT,Automatic,"11,865 km",Petrol,1st Owner,"₹7,70,599"
Bengaluru,2020,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"8,138 km",Petrol,1st Owner,"₹6,46,599"
Bengaluru,2015,Ford,Figo Aspire 1.5 TITANIUM DIESEL,Manual,"55,628 km",Diesel,1st Owner,"₹5,09,899"
Bengaluru,2018,Maruti,Dzire VDI,Manual,"69,361 km",Diesel,1st Owner,"₹6,30,399"
Bengaluru,2018,Maruti,Dzire ZXI Plus AMT,Automatic,"13,779 km",Petrol,1st Owner,"₹7,43,099"
Bengaluru,2018,Maruti,Dzire ZDI Plus AMT,Automatic,"29,792 km",Diesel,1st Owner,"₹8,03,599"
Bengaluru,2017,Honda,City V MT PETROL,Manual,"27,403 km",Petrol,2nd Owner,"₹8,58,599"
Bengaluru,2018,Toyota,YARIS V CVT,Manual,"58,923 km",Petrol,1st Owner,"₹8,52,199"
Bengaluru,2013,Ford,Fiesta TITANIUM DIESEL,Manual,"64,313 km",Diesel,1st Owner,"₹4,53,999"
Bengaluru,2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"51,391 km",Petrol,3rd Owner,"₹5,34,799"
Bengaluru,2014,Skoda,Rapid AMBITION 1.6 MPI MT PLUS,Manual,"90,560 km",Petrol,2nd Owner,"₹4,50,399"
Bengaluru,2017,Hyundai,Tucson New 4WD AT GLS DIESEL,Automatic,"34,941 km",Diesel,1st Owner,"₹20,67,099"
Bengaluru,2016,Toyota,Corolla Altis G AT,Automatic,"18,351 km",Petrol,2nd Owner,"₹10,53,899"
Bengaluru,2014,Toyota,Corolla Altis D 4D G,Manual,"64,294 km",Diesel,1st Owner,"₹9,82,999"
Bengaluru,2016,Maruti,S Cross ZETA 1.3,Manual,"1,46,782 km",Diesel,2nd Owner,"₹6,77,299"
Bengaluru,2016,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"38,877 km",Diesel,1st Owner,"₹7,05,999"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"24,484 km",Petrol,1st Owner,"₹4,57,999"
Bengaluru,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"36,701 km",Petrol,1st Owner,"₹7,09,699"
Bengaluru,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"54,689 km",Petrol,1st Owner,"₹7,30,999"
Bengaluru,2016,Ford,Ecosport 1.5 TREND+ TDCI,Manual,"31,870 km",Diesel,1st Owner,"₹7,12,099"
Bengaluru,2018,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"20,398 km",Petrol,1st Owner,"₹8,76,599"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"27,918 km",Petrol,1st Owner,"₹4,45,599"
Bengaluru,2019,Maruti,Eeco 7 STR,Manual,"15,290 km",Petrol,2nd Owner,"₹4,57,399"
Bengaluru,2019,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"17,363 km",Petrol,1st Owner,"₹8,58,399"
Bengaluru,2016,Hyundai,Creta 1.6 SX CRDI,,"1,13,574 km",Diesel,1st Owner,"₹9,14,999"
Bengaluru,2020,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Manual,"13,853 km",Petrol,1st Owner,"₹10,99,699"
Bengaluru,2016,Mahindra,Kuv100 K6 6 STR,Manual,"22,163 km",Petrol,1st Owner,"₹4,34,999"
Bengaluru,2016,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"31,885 km",Petrol,1st Owner,"₹7,36,299"
Bengaluru,2018,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"17,010 km",Petrol,1st Owner,"₹4,14,699"
Bengaluru,2013,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"39,771 km",Petrol,2nd Owner,"₹6,81,099"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"24,158 km",Petrol,1st Owner,"₹4,45,199"
Bengaluru,2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"57,837 km",Petrol,1st Owner,"₹6,81,599"
Bengaluru,2017,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"53,007 km",Diesel,1st Owner,"₹7,16,999"
Bengaluru,2009,Toyota,Innova 2.5 V 8 STR,Manual,"2,04,940 km",Diesel,2nd Owner,"₹6,07,499"
Bengaluru,2016,Maruti,Eeco 5 STR,Manual,"22,828 km",Petrol,1st Owner,"₹3,76,399"
Bengaluru,2015,Renault,Duster 85 PS RXL OPT,Manual,"70,037 km",Diesel,2nd Owner,"₹6,64,999"
Bengaluru,2019,Mahindra,XUV 3OO 1.2 W8 OPT,,"31,465 km",Petrol,1st Owner,"₹10,08,999"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"18,547 km",Petrol,1st Owner,"₹4,15,699"
Bengaluru,2018,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,691 km",Petrol,2nd Owner,"₹9,87,499"
Bengaluru,2017,Tata,Hexa Varicor 400 XTA,Automatic,"50,519 km",Diesel,1st Owner,"₹13,22,899"
Bengaluru,2018,Tata,NEXON XZ+ 1.2,Manual,"33,996 km",Petrol,1st Owner,"₹7,76,899"
Bengaluru,2013,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"68,695 km",Petrol,2nd Owner,"₹5,59,399"
Bengaluru,2014,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"19,207 km",Petrol,3rd Owner,"₹5,18,799"
Bengaluru,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"29,824 km",Diesel,1st Owner,"₹9,23,299"
Bengaluru,2016,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"31,885 km",Petrol,1st Owner,"₹7,36,299"
Bengaluru,2018,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"17,010 km",Petrol,1st Owner,"₹4,14,699"
Bengaluru,2013,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"39,771 km",Petrol,2nd Owner,"₹6,81,099"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"24,158 km",Petrol,1st Owner,"₹4,45,199"
Bengaluru,2019,Hyundai,VENUE 1.0L Turbo GDI SX(O) MT,Manual,"11,423 km",Petrol,1st Owner,"₹10,84,899"
Bengaluru,2019,Maruti,Vitara Brezza VDI,Manual,"27,498 km",Diesel,1st Owner,"₹8,48,399"
Bengaluru,2020,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"6,615 km",Petrol,1st Owner,"₹8,07,599"
Bengaluru,2009,Toyota,Innova 2.5 V 8 STR,Manual,"2,04,940 km",Diesel,2nd Owner,"₹6,07,499"
Bengaluru,2016,Maruti,Eeco 5 STR,Manual,"22,828 km",Petrol,1st Owner,"₹3,76,399"
Bengaluru,2015,Renault,Duster 85 PS RXL OPT,Manual,"70,037 km",Diesel,2nd Owner,"₹6,64,999"
Bengaluru,2019,Mahindra,XUV 3OO 1.2 W8 OPT,,"31,465 km",Petrol,1st Owner,"₹10,08,999"
Bengaluru,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"18,547 km",Petrol,1st Owner,"₹4,15,699"
Bengaluru,2018,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,691 km",Petrol,2nd Owner,"₹9,87,499"
Bengaluru,2017,Tata,Hexa Varicor 400 XTA,Automatic,"50,519 km",Diesel,1st Owner,"₹13,22,899"
Bengaluru,2018,Tata,NEXON XZ+ 1.2,Manual,"33,996 km",Petrol,1st Owner,"₹7,76,899"
Bengaluru,2013,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"68,695 km",Petrol,2nd Owner,"₹5,59,399"
Bengaluru,2014,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"19,207 km",Petrol,3rd Owner,"₹5,18,799"
Bengaluru,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"29,824 km",Diesel,1st Owner,"₹9,23,299"
Hyderabad,2019,Toyota,Innova Crysta 2.4 GX 8 STR,Manual,"1,87,298 km",Diesel,1st Owner,"₹14,65,799"
Hyderabad,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"9,338 km",Petrol,2nd Owner,"₹4,56,199"
Hyderabad,2014,Ford,Ecosport 1.5 TREND TI VCT,Manual,"68,522 km",Petrol,1st Owner,"₹4,83,699"
Hyderabad,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"88,052 km",Diesel,2nd Owner,"₹8,40,999"
Hyderabad,2019,Ford,Ecosport 1.5 TITANIUM PLUS TI VCT AT,Manual,"7,346 km",Petrol,1st Owner,"₹9,05,899"
Hyderabad,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"11,900 km",Petrol,1st Owner,"₹4,55,099"
Hyderabad,2016,Maruti,Vitara Brezza ZDI,Manual,"76,342 km",Diesel,1st Owner,"₹7,58,899"
Hyderabad,2019,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"31,895 km",Petrol,1st Owner,"₹3,97,099"
Hyderabad,2017,Maruti,Dzire VDI,Manual,"33,894 km",Diesel,1st Owner,"₹6,34,099"
Hyderabad,2019,Maruti,Dzire VDI,Manual,"21,577 km",Diesel,1st Owner,"₹7,58,999"
Hyderabad,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"49,145 km",Diesel,1st Owner,"₹6,63,499"
Hyderabad,2019,Maruti,Dzire VXI,Manual,"3,882 km",Petrol,1st Owner,"₹6,71,299"
Hyderabad,2018,Maruti,Dzire VDI,Manual,"44,932 km",Diesel,1st Owner,"₹6,83,199"
Hyderabad,2016,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Manual,"83,328 km",Petrol,1st Owner,"₹6,52,299"
Hyderabad,2017,Maruti,Swift Dzire VDI OPT,Manual,"19,935 km",Diesel,1st Owner,"₹6,68,199"
Hyderabad,2009,Mercedes,Benz C Class 220 CDI ELEGANCE AT,Automatic,"65,969 km",Diesel,2nd Owner,"₹8,82,299"
Hyderabad,2019,Maruti,S PRESSO VXI PLUS,Manual,"29,101 km",Petrol,1st Owner,"₹4,63,099"
Hyderabad,2020,Maruti,Baleno ALPHA 1.2 K12,Manual,"28,752 km",Petrol,1st Owner,"₹7,46,499"
Hyderabad,2013,Honda,Brio 1.2 S MT I VTEC,Manual,"32,064 km",Petrol,1st Owner,"₹3,65,499"
Hyderabad,2017,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"26,729 km",Petrol,2nd Owner,"₹6,60,899"
Hyderabad,2012,Maruti,Alto LXI,Manual,"21,364 km",Petrol,1st Owner,"₹2,28,499"
Hyderabad,2017,Maruti,Celerio ZXI OPT AMT,Automatic,"32,384 km",Petrol,1st Owner,"₹4,48,799"
Hyderabad,2017,Maruti,Swift VXI OPT,Manual,"29,996 km",Petrol,2nd Owner,"₹5,10,299"
Hyderabad,2016,Maruti,Swift VXI,Manual,"8,029 km",Petrol,1st Owner,"₹4,93,099"
Hyderabad,2015,Maruti,Alto K10 VXI,Manual,"30,557 km",Petrol,1st Owner,"₹2,90,099"
Hyderabad,2019,Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,Manual,"5,355 km",Petrol,2nd Owner,"₹7,07,099"
Hyderabad,2014,Honda,Brio 1.2 S MT I VTEC,Manual,"38,354 km",Petrol,2nd Owner,"₹3,65,999"
Hyderabad,2018,Hyundai,Elite i20 ASTA 1.2 AT,,"20,001 km",Petrol,1st Owner,"₹7,52,899"
